search_term,criterion_type,campaign,ad_group,clicks,impressions,cost,conversions,reason
reunification therapy near me,Negative Phrase,TheraPPC - Regional,Therapist - Near Me,1.0,24.0,23.71,0.0,Reunification therapy is not confirmed as a supported focus.
marriage counselors near me,Negative Phrase,TheraPPC - Regional,Therapist - Near Me,1.0,5.0,18.02,0.0,Marriage counseling is not confirmed as a supported focus.
children psychiatrist near me,Negative Phrase,TheraPPC - Regional,Child Therapy - Near Me,1.0,2.0,11.41,0.0,Psychiatry is not confirmed as a supported focus in this package.
child psychiatrist near me,Negative Phrase,TheraPPC - Regional,Child Therapy - Near Me,1.0,9.0,7.47,0.0,Psychiatry is not confirmed as a supported focus in this package.
the place for children with autism near me,Negative Phrase,TheraPPC - Regional,Child Therapy - Near Me,2.0,15.0,3.98,0.0,Autism-center intent is outside the staged therapy focus.
addiction psychiatrist near me,Negative Phrase,TheraPPC - Regional,Therapist - Near Me,0.0,1.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.
arabic psychiatrist near me,Negative Phrase,TheraPPC - Regional,Therapist - Near Me,0.0,1.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.
autism care therapy chicago,Negative Phrase,TheraPPC - Regional,Child Therapy - Chicago,0.0,4.0,0.0,0.0,Autism-center intent is outside the staged therapy focus.
autism care therapy near me,Negative Phrase,TheraPPC - Regional,Therapist - Near Me,0.0,2.0,0.0,0.0,Autism-center intent is outside the staged therapy focus.
autism therapy chicago,Negative Phrase,TheraPPC - Regional,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Autism-center intent is outside the staged therapy focus.
autism therapy near me,Negative Phrase,TheraPPC - Regional,Therapist - Near Me,0.0,4.0,0.0,0.0,Autism-center intent is outside the staged therapy focus.
behavioral psychiatrist near me,Negative Phrase,TheraPPC - Regional,Therapist - Near Me,0.0,1.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.
blossom therapy chicago,Negative Phrase,TheraPPC - Regional,Child Therapy - Chicago,0.0,5.0,0.0,0.0,Competitor or institution name with no conversion signal.
certified addiction counselor near me,Negative Phrase,TheraPPC - Regional,Therapist - Near Me,0.0,1.0,0.0,0.0,Addiction counseling is not confirmed as a supported focus.
childrens psychiatrist near me,Negative Phrase,TheraPPC - Regional,Child Therapy - Near Me,0.0,1.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.
cst academy chicago,Negative Phrase,TheraPPC - Regional,Child Therapy - Chicago,0.0,2.0,0.0,0.0,Competitor or institution name with no conversion signal.
cst academy gurnee,Negative Phrase,TheraPPC - Regional,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Competitor or institution name with no conversion signal.
female psychiatrist near me accepting new patients,Negative Phrase,TheraPPC - Regional,Therapist - Near Me,0.0,1.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.
female sex therapist near me,Negative Phrase,TheraPPC - Regional,Therapist - Near Me,0.0,1.0,0.0,0.0,Sex therapy is not confirmed as a supported focus.
geriatric psychologist near me,Negative Phrase,TheraPPC - Regional,Therapist - Near Me,0.0,1.0,0.0,0.0,Geriatric psychology is not confirmed as a supported focus.
inexpensive psychiatrist near me,Negative Phrase,TheraPPC - Regional,Therapist - Near Me,0.0,1.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.
local psychiatrist,Negative Phrase,TheraPPC - Regional,Therapist - Near Me,0.0,1.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.
male marriage counselor near me,Negative Phrase,TheraPPC - Regional,Therapist - Near Me,0.0,2.0,0.0,0.0,Marriage counseling is not confirmed as a supported focus.
muslim psychiatrist near me,Negative Phrase,TheraPPC - Regional,Therapist - Near Me,0.0,1.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.
neuro psychologist near me,Negative Phrase,TheraPPC - Regional,Therapist - Near Me,0.0,1.0,0.0,0.0,Neuropsychology is not confirmed as a supported focus.
outpatient psychiatrist near me,Negative Phrase,TheraPPC - Regional,Therapist - Near Me,0.0,1.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.
pediatric neuro psychologist near me,Negative Phrase,TheraPPC - Regional,Child Therapy - Near Me,0.0,1.0,0.0,0.0,Neuropsychology is not confirmed as a supported focus.
polish psychiatrist near me,Negative Phrase,TheraPPC - Regional,Therapist - Near Me,0.0,5.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.
psychiatrist and therapist near me,Negative Phrase,TheraPPC - Regional,Therapist - Near Me,0.0,2.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.
psychiatrist for kids near me,Negative Phrase,TheraPPC - Regional,Child Therapy - Near Me,0.0,9.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.
psychiatrist in my area,Negative Phrase,TheraPPC - Regional,Therapist - Near Me,0.0,4.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.
psychiatrist near me accepting new patients,Negative Phrase,TheraPPC - Regional,Therapist - Near Me,0.0,3.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.
psychology today psychiatrist near me,Negative Phrase,TheraPPC - Regional,Therapist - Near Me,0.0,1.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.
psychosis psychiatrist near me,Negative Phrase,TheraPPC - Regional,Therapist - Near Me,0.0,2.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.
sex therapists near me,Negative Phrase,TheraPPC - Regional,Therapist - Near Me,0.0,1.0,0.0,0.0,Sex therapy is not confirmed as a supported focus.
the place for children with autism bronzeville,Negative Phrase,TheraPPC - Regional,Child Therapy - Chicago,0.0,2.0,0.0,0.0,Autism-center intent is outside the staged therapy focus.
the place for children with autism chicago,Negative Phrase,TheraPPC - Regional,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Autism-center intent is outside the staged therapy focus.
the place for children with autism river north,Negative Phrase,TheraPPC - Regional,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Autism-center intent is outside the staged therapy focus.
top rated psychiatrist near me,Negative Phrase,TheraPPC - Regional,Therapist - Near Me,0.0,2.0,0.0,0.0,Psychiatry is not confirmed as a supported focus in this package.
