search_term,decision,recommended_action,campaign,ad_group,suggested_ad_group,clicks,impressions,cost,conversions,reason,client_prompt
emdr therapy markham,Focus,Add as phrase keyword,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,2.0,3.0,10.04,1.0,Conversion signal plus clear therapy-service intent.,"Reply Focus, Keep, or Exclude."
emdr therapy toronto,Focus,Add as phrase keyword,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,6.0,60.0,46.9,0.0,Multiple clicks with clear therapy-service intent and no obvious exclusion pattern.,"Reply Focus, Keep, or Exclude."
chronic pain psychologist near me,Focus,Add as phrase keyword,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,2.0,2.0,3.7,0.0,Multiple clicks with clear therapy-service intent and no obvious exclusion pattern.,"Reply Focus, Keep, or Exclude."
the pain clinic toronto,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,2.0,11.0,34.31,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
best pain clinic toronto,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,2.0,6.0,22.12,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
interventional pain & spine specialists of canada 1262 don mills rd 62 north york on m3b 2w7,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,2.0,2.0,5.5,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
wasser pain clinic toronto,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,2.0,1.0,11.18,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
ibs treatment,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,1.0,14.0,1.29,0.0,"Relevant service intent with early engagement, but not enough evidence to stage automatically.","Reply Focus, Keep, or Exclude."
chronic pain specialist,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,1.0,9.0,1.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
pain reprocessing therapy toronto,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,1.0,9.0,2.63,0.0,Geo-modified service term. Confirm whether this city and service should become an active focus.,"Reply Focus, Keep, or Exclude."
emdr therapy scarborough,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,1.0,6.0,4.56,0.0,Geo-modified service term. Confirm whether this city and service should become an active focus.,"Reply Focus, Keep, or Exclude."
ibs homeopathy treatment,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,1.0,6.0,4.0,0.0,"Relevant service intent with early engagement, but not enough evidence to stage automatically.","Reply Focus, Keep, or Exclude."
pain clinic,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,1.0,6.0,1.92,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
211 toronto mental health,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Illness,Therapy - Chronic Illness,1.0,5.0,2.01,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
dr sarno,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,1.0,5.0,1.59,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
trigger point injections near me,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,1.0,4.0,1.78,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
emdr toronto,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,1.0,3.0,13.42,0.0,Geo-modified service term. Confirm whether this city and service should become an active focus.,"Reply Focus, Keep, or Exclude."
fibromyalgia counselling,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,1.0,3.0,3.5,0.0,"Relevant service intent with early engagement, but not enough evidence to stage automatically.","Reply Focus, Keep, or Exclude."
dr khetani pain clinic,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,1.0,2.0,12.21,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
emdr near me,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,1.0,2.0,19.78,0.0,"Relevant service intent with early engagement, but not enough evidence to stage automatically.","Reply Focus, Keep, or Exclude."
emdr online,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,1.0,2.0,3.72,0.0,"Relevant service intent with early engagement, but not enough evidence to stage automatically.","Reply Focus, Keep, or Exclude."
emdr therapist near me,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,1.0,2.0,7.87,0.0,"Relevant service intent with early engagement, but not enough evidence to stage automatically.","Reply Focus, Keep, or Exclude."
gut directed hypnotherapy near me,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,1.0,2.0,2.04,0.0,"Relevant service intent with early engagement, but not enough evidence to stage automatically.","Reply Focus, Keep, or Exclude."
jacobs pain clinic markham,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,1.0,2.0,3.01,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
kopi pain clinic kingston,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,1.0,2.0,2.95,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
pain specialist toronto,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,1.0,2.0,3.58,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
trauma hypnotherapy,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,1.0,2.0,1.41,0.0,"Relevant service intent with early engagement, but not enough evidence to stage automatically.","Reply Focus, Keep, or Exclude."
childhood trauma therapist toronto,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,1.0,1.0,11.28,0.0,Geo-modified service term. Confirm whether this city and service should become an active focus.,"Reply Focus, Keep, or Exclude."
hf care asian mental health and well being north york,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Illness,Therapy - Chronic Illness,1.0,1.0,4.44,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
ibs flare up treatment,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,1.0,1.0,5.98,0.0,"Relevant service intent with early engagement, but not enough evidence to stage automatically.","Reply Focus, Keep, or Exclude."
inpatient trauma treatment ontario,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,1.0,1.0,5.94,0.0,Geo-modified service term. Confirm whether this city and service should become an active focus.,"Reply Focus, Keep, or Exclude."
pain clinic mount sinai,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,1.0,1.0,1.11,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
pain solutions pickering,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,1.0,1.0,5.73,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
emdr,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,46.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
pain clinic near me,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,15.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
somatic therapy,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,12.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
chronic pain clinic near me,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,10.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
somatic therapy toronto,Review,"Client to mark Focus, Keep, or Exclude",ARC - Regional - Search,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,10.0,0.0,0.0,Geo-modified service term. Confirm whether this city and service should become an active focus.,"Reply Focus, Keep, or Exclude."
ibs clinic near me,Exclude,Do not stage yet,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,9.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
best emdr therapist toronto,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,7.0,0.0,0.0,Geo-modified service term. Confirm whether this city and service should become an active focus.,"Reply Focus, Keep, or Exclude."
fibromyalgia therapy near me,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,7.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
gut health nutritionist near me,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,7.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
www bloorpain com procedures,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,7.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
gut health toronto,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,6.0,0.0,0.0,Geo-modified service term. Confirm whether this city and service should become an active focus.,"Reply Focus, Keep, or Exclude."
emdr therapy mississauga,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - EMDR,0.0,5.0,0.0,0.0,Geo-modified service term. Confirm whether this city and service should become an active focus.,"Reply Focus, Keep, or Exclude."
gut specialist toronto,Exclude,Do not stage yet,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,5.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
pain clinic brampton,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,5.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
pain clinic don mills,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,5.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
silver pain clinic north york,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,5.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
somatic therapy near me,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,5.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
betrayal trauma therapy near me,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,4.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
brainspotting therapy,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,4.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
chronic pain physio,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,4.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
deep brain reorienting therapy,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - DBR,0.0,4.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
edmr,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,4.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
eye movement desensitization and reprocessing emdr,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - EMDR,0.0,4.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
hanna ratjen,Exclude,Do not stage yet,ARC - Regional - Search,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,4.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
ibs d treatment,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,4.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
ontario therapy,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Illness,Therapy - Chronic Illness,0.0,4.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
trauma resolution centre,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,4.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
wellness together canada,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Illness,Therapy - Chronic Illness,0.0,4.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
attachment and trauma treatment centre for healing,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,3.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
chronic pain clinic toronto,Exclude,Do not stage yet,ARC - Regional - Search,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,3.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
dbr trauma therapy,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,3.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
dmt therapy ontario,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Illness,Therapy - Chronic Illness,0.0,3.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
eaet therapy,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,3.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
emdr for childhood sexual abuse,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,3.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
emdr therapist toronto,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,3.0,0.0,0.0,Geo-modified service term. Confirm whether this city and service should become an active focus.,"Reply Focus, Keep, or Exclude."
gut brain hypnotherapy,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,3.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
ibs dietician,Exclude,Do not stage yet,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,3.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
ibs near me,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,3.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
pain clinic downtown,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,3.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
power over pain ca,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,3.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
somatic healing near me,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,3.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
somatic therapy ontario,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,3.0,0.0,0.0,Geo-modified service term. Confirm whether this city and service should become an active focus.,"Reply Focus, Keep, or Exclude."
tidhi toronto,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,3.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
trauma based yoga near me,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,3.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
trauma centre toronto,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,3.0,0.0,0.0,Geo-modified service term. Confirm whether this city and service should become an active focus.,"Reply Focus, Keep, or Exclude."
trauma informed emdr therapist,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,3.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
trauma therapy for men,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,3.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
york medical pain clinic newmarket,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,3.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
axon pain clinic st catharines,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,2.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
best pain clinic near me,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,2.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
bounce back ontario,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,2.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
can you do emdr online,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
chiropractor fibromyalgia,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
christian emdr therapy,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
