search_term,decision,recommended_action,campaign,ad_group,suggested_ad_group,clicks,impressions,cost,conversions,reason,client_prompt
mindful therapy,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Illness,Therapy - Chronic Illness,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
mls laser near me,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
narcissistic abuse counselling,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
neridronate for crps,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
nerve ablation lower back,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
new light pain clinic north york,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
ocd therapist,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Illness,Therapy - Chronic Illness,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
ocd therapy,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Illness,Therapy - Chronic Illness,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
ontario pain clinics,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
ontario pain clinics locations,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
pain and wellness clinic,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
pain care near me,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
pain clinic ajax,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
pain clinic barrie,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
pain clinic brampton queen street,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
pain clinic etobicoke,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
pain clinic mississauga queensway,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
pain clinic st michael's hospital,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
pain reprocessing theory,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
pain reprocessing therapy near me,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
pathways to healing & trauma therapy,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
peel region mental health services,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Illness,Therapy - Chronic Illness,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
precision care brampton,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
premiere pain,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
probiotic for irritable bowel syndrome,Exclude,Do not stage yet,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
probiotics for ibs,Exclude,Do not stage yet,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
progress place toronto,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Illness,Therapy - Chronic Illness,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
prt therapy near me,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
psychologist ptsd,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
psychosomatic therapy,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Illness,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
psychotherapy scarborough,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Illness,Therapy - Chronic Illness,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
psychotherapy today emdr,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
ptsd rapid eye movement therapy,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
ptsd therapy near me,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
rtms ontario,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Illness,Therapy - Chronic Illness,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
rtms painless medicine,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
rtms treatment toronto,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Illness,Therapy - Chronic Illness,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
sabrina tuzi,Keep,Continue observing,ARC - Regional - Search,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
scarborough psychotherapy services,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Illness,Therapy - Chronic Illness,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
sciatica specialist toronto,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
scrambler therapy canada,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
sex trauma therapist,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
shivon raghunandan,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
somatic experiencing therapy toronto,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Geo-modified service term. Confirm whether this city and service should become an active focus.,"Reply Focus, Keep, or Exclude."
somatic practitioner,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
st michael's hospital pain clinic,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
strides toronto,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Illness,Therapy - Chronic Illness,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
tanner murtagh,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
tapping therapy emdr,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
tapping therapy for trauma,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
the gut centre toronto,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,1.0,0.0,0.0,Geo-modified service term. Confirm whether this city and service should become an active focus.,"Reply Focus, Keep, or Exclude."
the insight clinic whitby,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Illness,Therapy - Chronic Illness,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
the mind people oakville,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Illness,Therapy - Chronic Illness,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
therapist cptsd,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
therapist emdr,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
therapist for trauma bonds,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
therapy for police officers,Keep,Continue observing,ARC - Search - Services,Therapy - First Responder,Therapy - First Responder,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
therapy for ptsd and trauma,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
therapy to forget trauma,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
therapy with eye movement,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
trauma focused cognitive behavioral therapy for sexually abused children,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
trauma informed care,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
trauma informed counselling,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
trauma informed movement,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
trauma informed psychotherapist,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
trauma ptsd therapist near me,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
trauma therapy near me,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
trauma therapy ontario,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Geo-modified service term. Confirm whether this city and service should become an active focus.,"Reply Focus, Keep, or Exclude."
treatment for sciatica,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
treatment of ibs,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
treatment of ibs in adults,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
treatment of ibs in females,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
treatments for ibs,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
trp natural relief,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
what can i do to relieve sciatica pain,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Informational therapy research query. Keep visible unless the client wants tighter pruning.,"Reply Focus, Keep, or Exclude."
what does emdr,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Informational therapy research query. Keep visible unless the client wants tighter pruning.,"Reply Focus, Keep, or Exclude."
what heals trauma,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Informational therapy research query. Keep visible unless the client wants tighter pruning.,"Reply Focus, Keep, or Exclude."
what helps fibromyalgia pain,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Informational therapy research query. Keep visible unless the client wants tighter pruning.,"Reply Focus, Keep, or Exclude."
what helps ibs go away fast,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,1.0,0.0,0.0,Informational therapy research query. Keep visible unless the client wants tighter pruning.,"Reply Focus, Keep, or Exclude."
what helps with spinal stenosis pain,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Informational therapy research query. Keep visible unless the client wants tighter pruning.,"Reply Focus, Keep, or Exclude."
what is good for irritable bowel syndrome,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,1.0,0.0,0.0,Informational therapy research query. Keep visible unless the client wants tighter pruning.,"Reply Focus, Keep, or Exclude."
what is gut hypnotherapy,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,1.0,0.0,0.0,Informational therapy research query. Keep visible unless the client wants tighter pruning.,"Reply Focus, Keep, or Exclude."
what is the best painkiller for fibromyalgia,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Informational therapy research query. Keep visible unless the client wants tighter pruning.,"Reply Focus, Keep, or Exclude."
what is the best treatment for chronic lower back pain,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Informational therapy research query. Keep visible unless the client wants tighter pruning.,"Reply Focus, Keep, or Exclude."
what to do for irritable bowel syndrome,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,1.0,0.0,0.0,Informational therapy research query. Keep visible unless the client wants tighter pruning.,"Reply Focus, Keep, or Exclude."
what type of doctor treats ibs,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,1.0,0.0,0.0,Informational therapy research query. Keep visible unless the client wants tighter pruning.,"Reply Focus, Keep, or Exclude."
which align probiotic is best for ibs,Exclude,Do not stage yet,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
wilderman clinic toronto,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
women's trauma recovery centre,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
yoga for ibs and anxiety,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
your therapy toronto,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Illness,Therapy - Chronic Illness,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
yourfibrodoctor,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
