campaign,ad_group,asset_type,slot,text,chars
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,1,NYC Anxiety Therapy Online,26
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,2,NJ Anxiety Therapy Online,25
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,3,Anxiety Therapy For Adults,26
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,4,Mindful Anxiety Counseling,26
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,5,CBT And Mindfulness Support,27
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,6,Therapy For Young Adults NY,27
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,7,Practical Anxiety Skills NY,27
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,8,Online Therapy In NY And NJ,27
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,9,Support For Overthinking Care,29
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,10,Book A Free Consult Today,25
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,11,Out Of Network Superbills,25
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,12,Licensed NY And NJ Therapy,26
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,13,Anxiety Care With CBT Skills,28
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,14,Mindful Mental Health Care,26
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,headline,15,Private Online Therapy Care,27
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,description,1,Online anxiety therapy for young adults in New York and New Jersey.,67
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,description,2,"Build practical skills with CBT, DBT, ACT, and mindfulness-informed care.",73
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,description,3,Start with a consultation call and confirm whether the practice is a fit.,73
ARC - Search - Anxiety Therapy - V1,Therapy - Anxiety - General,description,4,Out-of-network superbills are available for eligible reimbursement.,67
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,1,Individual Therapy Online,25
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,2,Therapy For Young Adults NY,27
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,3,NYC Young Adult Therapy Care,28
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,4,Online Therapy In NY And NJ,27
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,5,Mindful Therapy Support NY,26
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,6,CBT Skills For Daily Life,25
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,7,Support For Life Transitions,28
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,8,Private Online Therapy Care,27
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,9,Book A Free Consult Today,25
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,10,Licensed NY And NJ Therapy,26
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,11,Therapy For Overthinking Care,29
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,12,Build Practical Coping Skills,29
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,13,Mindful Mental Health Care,26
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,14,Out Of Network Superbills,25
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,headline,15,Goal Oriented Therapy Care,26
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,description,1,Online individual therapy for young adults navigating anxiety and related concerns.,83
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,description,2,"Sessions focus on practical skills, mindfulness, and collaborative support.",75
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,description,3,Care is available for people living in New York or New Jersey.,62
ARC - Search - Anxiety Therapy - V1,Therapy - Young Adults - General,description,4,Out-of-network superbills are available for eligible reimbursement.,67
ARC - Search - Anxiety Therapy - V1,Therapy - Group - New York City,headline,1,Online Group Therapy NYC Care,29
ARC - Search - Anxiety Therapy - V1,Therapy - Group - New York City,headline,2,Skills Based Group Therapy,26
ARC - Search - Anxiety Therapy - V1,Therapy - Group - New York City,headline,3,Social Anxiety Group Care,25
ARC - Search - Anxiety Therapy - V1,Therapy - Group - New York City,headline,4,CBT Group Skills Support NY,27
ARC - Search - Anxiety Therapy - V1,Therapy - Group - New York City,headline,5,Group Therapy For Adults NYC,28
ARC - Search - Anxiety Therapy - V1,Therapy - Group - New York City,headline,6,Connect With Supportive Peers,29
ARC - Search - Anxiety Therapy - V1,Therapy - Group - New York City,headline,7,Guided Online Therapy Groups,28
ARC - Search - Anxiety Therapy - V1,Therapy - Group - New York City,headline,8,Therapy Groups For Anxiety,26
ARC - Search - Anxiety Therapy - V1,Therapy - Group - New York City,headline,9,Mindfulness Group Support,25
ARC - Search - Anxiety Therapy - V1,Therapy - Group - New York City,headline,10,Book A Free Consult Today,25
ARC - Search - Anxiety Therapy - V1,Therapy - Group - New York City,headline,11,Licensed NY And NJ Therapy,26
ARC - Search - Anxiety Therapy - V1,Therapy - Group - New York City,headline,12,Support For Depression Skills,29
ARC - Search - Anxiety Therapy - V1,Therapy - Group - New York City,headline,13,Private Online Group Care,25
ARC - Search - Anxiety Therapy - V1,Therapy - Group - New York City,headline,14,Out Of Network Superbills,25
ARC - Search - Anxiety Therapy - V1,Therapy - Group - New York City,headline,15,Mindful Mental Health Care,26
ARC - Search - Anxiety Therapy - V1,Therapy - Group - New York City,description,1,Online group therapy options for adults seeking skills and support.,67
ARC - Search - Anxiety Therapy - V1,Therapy - Group - New York City,description,2,"Groups may focus on social anxiety, depression skills, or mindfulness.",70
ARC - Search - Anxiety Therapy - V1,Therapy - Group - New York City,description,3,"Start with an intro call to review fit, timing, rates, and next steps.",70
ARC - Search - Anxiety Therapy - V1,Therapy - Group - New York City,description,4,Out-of-network superbills are available for eligible reimbursement.,67
ARC - Search - Anxiety Therapy - V1,Therapy - CBT - General,headline,1,Online CBT Therapy Support,26
ARC - Search - Anxiety Therapy - V1,Therapy - CBT - General,headline,2,CBT Skills For Anxiety Care,27
ARC - Search - Anxiety Therapy - V1,Therapy - CBT - General,headline,3,Cognitive Behavioral Therapy,28
ARC - Search - Anxiety Therapy - V1,Therapy - CBT - General,headline,4,CBT Therapy Care In NY NJ,25
ARC - Search - Anxiety Therapy - V1,Therapy - CBT - General,headline,5,Practical CBT Tools Online,26
ARC - Search - Anxiety Therapy - V1,Therapy - CBT - General,headline,6,Therapy For Thought Patterns,28
ARC - Search - Anxiety Therapy - V1,Therapy - CBT - General,headline,7,Mindfulness Informed CBT Care,29
ARC - Search - Anxiety Therapy - V1,Therapy - CBT - General,headline,8,CBT Support For Young Adults,28
ARC - Search - Anxiety Therapy - V1,Therapy - CBT - General,headline,9,Book A Free Consult Today,25
ARC - Search - Anxiety Therapy - V1,Therapy - CBT - General,headline,10,Licensed NY And NJ Therapy,26
ARC - Search - Anxiety Therapy - V1,Therapy - CBT - General,headline,11,Goal Oriented Therapy Care,26
ARC - Search - Anxiety Therapy - V1,Therapy - CBT - General,headline,12,Build Practical Coping Skills,29
ARC - Search - Anxiety Therapy - V1,Therapy - CBT - General,headline,13,Mindful Mental Health Care,26
ARC - Search - Anxiety Therapy - V1,Therapy - CBT - General,headline,14,Out Of Network Superbills,25
ARC - Search - Anxiety Therapy - V1,Therapy - CBT - General,headline,15,Online Therapy For Anxiety,26
ARC - Search - Anxiety Therapy - V1,Therapy - CBT - General,description,1,CBT-informed online therapy for anxiety and related concerns in NY and NJ.,74
ARC - Search - Anxiety Therapy - V1,Therapy - CBT - General,description,2,"Work on thought patterns, coping skills, mindfulness, and daily tools.",70
ARC - Search - Anxiety Therapy - V1,Therapy - CBT - General,description,3,"Care is collaborative, practical, and matched to individual goals.",66
ARC - Search - Anxiety Therapy - V1,Therapy - CBT - General,description,4,Out-of-network superbills are available for eligible reimbursement.,67
ARC - Search - Anxiety Therapy - V1,Therapy - DBT - General,headline,1,Online DBT Skills Therapy,25
ARC - Search - Anxiety Therapy - V1,Therapy - DBT - General,headline,2,DBT Skills For Daily Stress,27
ARC - Search - Anxiety Therapy - V1,Therapy - DBT - General,headline,3,Emotional Regulation Support,28
ARC - Search - Anxiety Therapy - V1,Therapy - DBT - General,headline,4,DBT Therapy Care In NY NJ,25
ARC - Search - Anxiety Therapy - V1,Therapy - DBT - General,headline,5,Therapy For Life Transitions,28
ARC - Search - Anxiety Therapy - V1,Therapy - DBT - General,headline,6,Practical Coping Skills Care,28
ARC - Search - Anxiety Therapy - V1,Therapy - DBT - General,headline,7,Mindfulness Informed DBT Care,29
ARC - Search - Anxiety Therapy - V1,Therapy - DBT - General,headline,8,DBT Support For Young Adults,28
ARC - Search - Anxiety Therapy - V1,Therapy - DBT - General,headline,9,Book A Free Consult Today,25
ARC - Search - Anxiety Therapy - V1,Therapy - DBT - General,headline,10,Licensed NY And NJ Therapy,26
ARC - Search - Anxiety Therapy - V1,Therapy - DBT - General,headline,11,Private Online Therapy Care,27
ARC - Search - Anxiety Therapy - V1,Therapy - DBT - General,headline,12,Build Practical Coping Skills,29
ARC - Search - Anxiety Therapy - V1,Therapy - DBT - General,headline,13,Mindful Mental Health Care,26
ARC - Search - Anxiety Therapy - V1,Therapy - DBT - General,headline,14,Out Of Network Superbills,25
ARC - Search - Anxiety Therapy - V1,Therapy - DBT - General,headline,15,Support For Intense Emotions,28
ARC - Search - Anxiety Therapy - V1,Therapy - DBT - General,description,1,"DBT-informed online therapy for anxiety, emotions, and life transitions.",72
ARC - Search - Anxiety Therapy - V1,Therapy - DBT - General,description,2,"Learn skills for emotional regulation, distress tolerance, and mindfulness.",75
ARC - Search - Anxiety Therapy - V1,Therapy - DBT - General,description,3,Care is available for people living in New York or New Jersey.,62
ARC - Search - Anxiety Therapy - V1,Therapy - DBT - General,description,4,Out-of-network superbills are available for eligible reimbursement.,67
ARC - Search - Anxiety Therapy - V1,Therapy - OCD - General,headline,1,Online OCD Therapy Support,26
ARC - Search - Anxiety Therapy - V1,Therapy - OCD - General,headline,2,OCD Therapy Care In NY NJ,25
ARC - Search - Anxiety Therapy - V1,Therapy - OCD - General,headline,3,Support For OCD Patterns NY,27
ARC - Search - Anxiety Therapy - V1,Therapy - OCD - General,headline,4,Therapy For Intrusive Thoughts,30
ARC - Search - Anxiety Therapy - V1,Therapy - OCD - General,headline,5,CBT Skills For OCD Support,26
ARC - Search - Anxiety Therapy - V1,Therapy - OCD - General,headline,6,Mindfulness For OCD Support,27
ARC - Search - Anxiety Therapy - V1,Therapy - OCD - General,headline,7,Private Online Therapy Care,27
ARC - Search - Anxiety Therapy - V1,Therapy - OCD - General,headline,8,Therapy For Young Adults NY,27
ARC - Search - Anxiety Therapy - V1,Therapy - OCD - General,headline,9,Book A Free Consult Today,25
ARC - Search - Anxiety Therapy - V1,Therapy - OCD - General,headline,10,Licensed NY And NJ Therapy,26
ARC - Search - Anxiety Therapy - V1,Therapy - OCD - General,headline,11,Practical Coping Skills Care,28
ARC - Search - Anxiety Therapy - V1,Therapy - OCD - General,headline,12,Mindful Mental Health Care,26
ARC - Search - Anxiety Therapy - V1,Therapy - OCD - General,headline,13,Out Of Network Superbills,25
ARC - Search - Anxiety Therapy - V1,Therapy - OCD - General,headline,14,Goal Oriented Therapy Care,26
ARC - Search - Anxiety Therapy - V1,Therapy - OCD - General,headline,15,Online Therapy For Anxiety,26
ARC - Search - Anxiety Therapy - V1,Therapy - OCD - General,description,1,Online therapy support for OCD-related concerns in New York and New Jersey.,75
ARC - Search - Anxiety Therapy - V1,Therapy - OCD - General,description,2,Use evidence-informed tools for intrusive thoughts and compulsive patterns.,75
ARC - Search - Anxiety Therapy - V1,Therapy - OCD - General,description,3,Start with a consultation call to confirm clinical fit and next steps.,70
ARC - Search - Anxiety Therapy - V1,Therapy - OCD - General,description,4,Out-of-network superbills are available for eligible reimbursement.,67
ARC - Search - Anxiety Therapy - V1,Therapy - Depression - General,headline,1,Online Depression Therapy,25
ARC - Search - Anxiety Therapy - V1,Therapy - Depression - General,headline,2,Depression Therapy Support,26
ARC - Search - Anxiety Therapy - V1,Therapy - Depression - General,headline,3,Therapy For Low Mood Support,28
ARC - Search - Anxiety Therapy - V1,Therapy - Depression - General,headline,4,Depression Care In NY And NJ,28
ARC - Search - Anxiety Therapy - V1,Therapy - Depression - General,headline,5,CBT Skills For Depression,25
ARC - Search - Anxiety Therapy - V1,Therapy - Depression - General,headline,6,Mindfulness Therapy Support,27
ARC - Search - Anxiety Therapy - V1,Therapy - Depression - General,headline,7,Private Online Therapy Care,27
ARC - Search - Anxiety Therapy - V1,Therapy - Depression - General,headline,8,Therapy For Young Adults NY,27
ARC - Search - Anxiety Therapy - V1,Therapy - Depression - General,headline,9,Book A Free Consult Today,25
ARC - Search - Anxiety Therapy - V1,Therapy - Depression - General,headline,10,Licensed NY And NJ Therapy,26
ARC - Search - Anxiety Therapy - V1,Therapy - Depression - General,headline,11,Build Practical Coping Skills,29
ARC - Search - Anxiety Therapy - V1,Therapy - Depression - General,headline,12,Goal Oriented Therapy Care,26
ARC - Search - Anxiety Therapy - V1,Therapy - Depression - General,headline,13,Mindful Mental Health Care,26
ARC - Search - Anxiety Therapy - V1,Therapy - Depression - General,headline,14,Out Of Network Superbills,25
ARC - Search - Anxiety Therapy - V1,Therapy - Depression - General,headline,15,Support For Life Transitions,28
ARC - Search - Anxiety Therapy - V1,Therapy - Depression - General,description,1,Online depression therapy support for young adults in New York and New Jersey.,78
ARC - Search - Anxiety Therapy - V1,Therapy - Depression - General,description,2,"Sessions can focus on low mood, motivation, transitions, and daily skills.",74
ARC - Search - Anxiety Therapy - V1,Therapy - Depression - General,description,3,"Care is collaborative and grounded in CBT, DBT, ACT, and mindfulness.",69
ARC - Search - Anxiety Therapy - V1,Therapy - Depression - General,description,4,Out-of-network superbills are available for eligible reimbursement.,67
ARC - Search - Anxiety Therapy - V1,Therapy - Social Anxiety - General,headline,1,Social Anxiety Therapy Care,27
ARC - Search - Anxiety Therapy - V1,Therapy - Social Anxiety - General,headline,2,Online Social Anxiety Support,29
ARC - Search - Anxiety Therapy - V1,Therapy - Social Anxiety - General,headline,3,CBT Skills For Social Anxiety,29
ARC - Search - Anxiety Therapy - V1,Therapy - Social Anxiety - General,headline,4,Social Anxiety In NY And NJ,27
ARC - Search - Anxiety Therapy - V1,Therapy - Social Anxiety - General,headline,5,Group Therapy For Anxiety,25
ARC - Search - Anxiety Therapy - V1,Therapy - Social Anxiety - General,headline,6,Therapy For Overthinking Care,29
ARC - Search - Anxiety Therapy - V1,Therapy - Social Anxiety - General,headline,7,Private Online Therapy Care,27
ARC - Search - Anxiety Therapy - V1,Therapy - Social Anxiety - General,headline,8,Therapy For Young Adults NY,27
ARC - Search - Anxiety Therapy - V1,Therapy - Social Anxiety - General,headline,9,Book A Free Consult Today,25
ARC - Search - Anxiety Therapy - V1,Therapy - Social Anxiety - General,headline,10,Licensed NY And NJ Therapy,26
ARC - Search - Anxiety Therapy - V1,Therapy - Social Anxiety - General,headline,11,Mindfulness Therapy Support,27
ARC - Search - Anxiety Therapy - V1,Therapy - Social Anxiety - General,headline,12,Build Practical Coping Skills,29
ARC - Search - Anxiety Therapy - V1,Therapy - Social Anxiety - General,headline,13,Mindful Mental Health Care,26
ARC - Search - Anxiety Therapy - V1,Therapy - Social Anxiety - General,headline,14,Out Of Network Superbills,25
ARC - Search - Anxiety Therapy - V1,Therapy - Social Anxiety - General,headline,15,Goal Oriented Therapy Care,26
ARC - Search - Anxiety Therapy - V1,Therapy - Social Anxiety - General,description,1,Online therapy and group support options for social anxiety concerns.,69
ARC - Search - Anxiety Therapy - V1,Therapy - Social Anxiety - General,description,2,"Build practical skills for worry, avoidance, overthinking, and stress.",70
ARC - Search - Anxiety Therapy - V1,Therapy - Social Anxiety - General,description,3,Care is available for people living in New York or New Jersey.,62
ARC - Search - Anxiety Therapy - V1,Therapy - Social Anxiety - General,description,4,Out-of-network superbills are available for eligible reimbursement.,67
