Account,Campaign,Location Name,Location Type,Is Negative,Bid Modifier,Priority Level,Service Focus
Wright's Impact Window and Door,Broward ZIP Targeting,33301, FL,ZIP,FALSE,0.3,High,Fort Lauderdale Downtown
Wright's Impact Window and Door,Broward ZIP Targeting,33304, FL,ZIP,FALSE,0.2,High,Fort Lauderdale Beach
Wright's Impact Window and Door,Broward ZIP Targeting,33305, FL,ZIP,FALSE,0.2,High,Fort Lauderdale Beach
Wright's Impact Window and Door,Broward ZIP Targeting,33306, FL,ZIP,FALSE,0.2,High,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33307, FL,ZIP,FALSE,0.15,High,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33308, FL,ZIP,FALSE,0.15,High,Fort Lauderdale Beach
Wright's Impact Window and Door,Broward ZIP Targeting,33309, FL,ZIP,FALSE,0.1,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33310, FL,ZIP,FALSE,0.1,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33311, FL,ZIP,FALSE,0.1,Medium,Fort Lauderdale/Lauderhill
Wright's Impact Window and Door,Broward ZIP Targeting,33312, FL,ZIP,FALSE,0.1,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33313, FL,ZIP,FALSE,0.1,Medium,Fort Lauderdale/Lauderhill
Wright's Impact Window and Door,Broward ZIP Targeting,33314, FL,ZIP,FALSE,0.1,Medium,Davie/Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33315, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33316, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33317, FL,ZIP,FALSE,0.05,Medium,Plantation/Davie
Wright's Impact Window and Door,Broward ZIP Targeting,33318, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33319, FL,ZIP,FALSE,0.05,Medium,Lauderhill/Tamarac
Wright's Impact Window and Door,Broward ZIP Targeting,33320, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33321, FL,ZIP,FALSE,0.05,Medium,Tamarac/Lauderhill
Wright's Impact Window and Door,Broward ZIP Targeting,33322, FL,ZIP,FALSE,0.05,Medium,Sunrise/Plantation
Wright's Impact Window and Door,Broward ZIP Targeting,33323, FL,ZIP,FALSE,0.05,Medium,Plantation/Sunrise
Wright's Impact Window and Door,Broward ZIP Targeting,33324, FL,ZIP,FALSE,0.05,Medium,Plantation/Davie
Wright's Impact Window and Door,Broward ZIP Targeting,33325, FL,ZIP,FALSE,0.05,Medium,Davie/Sunrise
Wright's Impact Window and Door,Broward ZIP Targeting,33326, FL,ZIP,FALSE,0.05,Medium,Davie/Sunrise
Wright's Impact Window and Door,Broward ZIP Targeting,33327, FL,ZIP,FALSE,0.05,Medium,Weston/Davie
Wright's Impact Window and Door,Broward ZIP Targeting,33328, FL,ZIP,FALSE,0.05,Medium,Davie/Sunrise
Wright's Impact Window and Door,Broward ZIP Targeting,33329, FL,ZIP,FALSE,0.05,Medium,Miramar/Pembroke Pines
Wright's Impact Window and Door,Broward ZIP Targeting,33330, FL,ZIP,FALSE,0.05,Medium,Davie
Wright's Impact Window and Door,Broward ZIP Targeting,33331, FL,ZIP,FALSE,0.05,Medium,Weston/Davie
Wright's Impact Window and Door,Broward ZIP Targeting,33332, FL,ZIP,FALSE,0.05,Medium,Weston/Davie
Wright's Impact Window and Door,Broward ZIP Targeting,33333, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33334, FL,ZIP,FALSE,0.05,Medium,Oakland Park
Wright's Impact Window and Door,Broward ZIP Targeting,33335, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33336, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33337, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33338, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33339, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33340, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33341, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33342, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33343, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33344, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33345, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33346, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33347, FL,ZIP,FALSE,0.05,Medium,Plantation
Wright's Impact Window and Door,Broward ZIP Targeting,33348, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33349, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33004, FL,ZIP,FALSE,0.05,Medium,Hollywood/Dania Beach
Wright's Impact Window and Door,Broward ZIP Targeting,33008, FL,ZIP,FALSE,0.05,Medium,Hallandale Beach
Wright's Impact Window and Door,Broward ZIP Targeting,33009, FL,ZIP,FALSE,0.05,Medium,Hallandale Beach
Wright's Impact Window and Door,Broward ZIP Targeting,33012, FL,ZIP,FALSE,0.05,Medium,Hialeah
Wright's Impact Window and Door,Broward ZIP Targeting,33013, FL,ZIP,FALSE,0.05,Medium,Hialeah
Wright's Impact Window and Door,Broward ZIP Targeting,33019, FL,ZIP,FALSE,0.1,High,Hollywood Beach
Wright's Impact Window and Door,Broward ZIP Targeting,33020, FL,ZIP,FALSE,0.1,High,Hollywood
Wright's Impact Window and Door,Broward ZIP Targeting,33021, FL,ZIP,FALSE,0.1,High,Hollywood
Wright's Impact Window and Door,Broward ZIP Targeting,33022, FL,ZIP,FALSE,0.05,Medium,Hollywood
Wright's Impact Window and Door,Broward ZIP Targeting,33023, FL,ZIP,FALSE,0.05,Medium,Miramar/Hollywood
Wright's Impact Window and Door,Broward ZIP Targeting,33024, FL,ZIP,FALSE,0.05,Medium,Pembroke Pines
Wright's Impact Window and Door,Broward ZIP Targeting,33025, FL,ZIP,FALSE,0.1,High,Miramar/Pembroke Pines
Wright's Impact Window and Door,Broward ZIP Targeting,33026, FL,ZIP,FALSE,0.1,High,Pembroke Pines
Wright's Impact Window and Door,Broward ZIP Targeting,33027, FL,ZIP,FALSE,0.1,High,Pembroke Pines/Miramar
Wright's Impact Window and Door,Broward ZIP Targeting,33028, FL,ZIP,FALSE,0.1,High,Pembroke Pines
Wright's Impact Window and Door,Broward ZIP Targeting,33029, FL,ZIP,FALSE,0.1,High,Pembroke Pines/Miramar
Wright's Impact Window and Door,Broward ZIP Targeting,33060, FL,ZIP,FALSE,0.05,Medium,Pompano Beach
Wright's Impact Window and Door,Broward ZIP Targeting,33061, FL,ZIP,FALSE,0.05,Medium,Pompano Beach
Wright's Impact Window and Door,Broward ZIP Targeting,33062, FL,ZIP,FALSE,0.05,Medium,Pompano Beach
Wright's Impact Window and Door,Broward ZIP Targeting,33063, FL,ZIP,FALSE,0.05,Medium,Margate/Pompano Beach
Wright's Impact Window and Door,Broward ZIP Targeting,33064, FL,ZIP,FALSE,0.05,Medium,Pompano Beach
Wright's Impact Window and Door,Broward ZIP Targeting,33065, FL,ZIP,FALSE,0.05,Medium,Coral Springs
Wright's Impact Window and Door,Broward ZIP Targeting,33066, FL,ZIP,FALSE,0.05,Medium,Pompano Beach
Wright's Impact Window and Door,Broward ZIP Targeting,33067, FL,ZIP,FALSE,0.05,Medium,Coral Springs
Wright's Impact Window and Door,Broward ZIP Targeting,33068, FL,ZIP,FALSE,0.05,Medium,North Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33069, FL,ZIP,FALSE,0.05,Medium,Pompano Beach
Wright's Impact Window and Door,Broward ZIP Targeting,33071, FL,ZIP,FALSE,0.05,Medium,Coral Springs
Wright's Impact Window and Door,Broward ZIP Targeting,33072, FL,ZIP,FALSE,0.05,Medium,Coral Springs
Wright's Impact Window and Door,Broward ZIP Targeting,33073, FL,ZIP,FALSE,0.05,Medium,Coral Springs
Wright's Impact Window and Door,Broward ZIP Targeting,33074, FL,ZIP,FALSE,0.05,Medium,Coral Springs
Wright's Impact Window and Door,Broward ZIP Targeting,33075, FL,ZIP,FALSE,0.05,Medium,Coral Springs
Wright's Impact Window and Door,Broward ZIP Targeting,33076, FL,ZIP,FALSE,0.05,Medium,Coral Springs
Wright's Impact Window and Door,Broward ZIP Targeting,33077, FL,ZIP,FALSE,0.05,Medium,Coral Springs
Wright's Impact Window and Door,Broward ZIP Targeting,33081, FL,ZIP,FALSE,0.05,Medium,Hollywood
Wright's Impact Window and Door,Broward ZIP Targeting,33082, FL,ZIP,FALSE,0.1,High,Pembroke Pines
Wright's Impact Window and Door,Broward ZIP Targeting,33083, FL,ZIP,FALSE,0.1,High,Pembroke Pines
Wright's Impact Window and Door,Broward ZIP Targeting,33084, FL,ZIP,FALSE,0.1,High,Pembroke Pines
Wright's Impact Window and Door,Broward ZIP Targeting,33351, FL,ZIP,FALSE,0.05,Medium,Sunrise
Wright's Impact Window and Door,Broward ZIP Targeting,33352, FL,ZIP,FALSE,0.05,Medium,Sunrise
Wright's Impact Window and Door,Broward ZIP Targeting,33355, FL,ZIP,FALSE,0.05,Medium,Fort Lauderdale
Wright's Impact Window and Door,Broward ZIP Targeting,33359, FL,ZIP,FALSE,0.05,Medium,Tamarac
Wright's Impact Window and Door,Broward ZIP Targeting,33388, FL,ZIP,FALSE,0.05,Medium,Plantation