Account,Campaign,Location Name,Location Type,Is Negative,Notes
Wright's Impact Window and Door,All Campaigns,Miami-Dade County, FL,County,TRUE,Complete county exclusion - high competition, different market dynamics
Wright's Impact Window and Door,All Campaigns,Miami, FL,City,TRUE,Ultra-high competition in luxury downtown market
Wright's Impact Window and Door,All Campaigns,Coral Gables, FL,City,TRUE,Luxury market with established competition
Wright's Impact Window and Door,All Campaigns,South Miami, FL,City,TRUE,High-end residential area with premium pricing
Wright's Impact Window and Door,All Campaigns,Key Biscayne, FL,City,TRUE,Ultra-luxury island market outside service radius
Wright's Impact Window and Door,All Campaigns,33101, FL,ZIP,TRUE,Downtown Miami - ultra luxury commercial
Wright's Impact Window and Door,All Campaigns,33109, FL,ZIP,TRUE,Fisher Island - extreme luxury residential
Wright's Impact Window and Door,All Campaigns,33122, FL,ZIP,TRUE,Port of Miami - industrial/commercial
Wright's Impact Window and Door,All Campaigns,33126, FL,ZIP,TRUE,Flagami area - lower income concentration
Wright's Impact Window and Door,All Campaigns,33127, FL,ZIP,TRUE,Little Haiti/Little Havana - economic challenges
Wright's Impact Window and Door,All Campaigns,33128, FL,ZIP,TRUE,Downtown Miami - mixed commercial/residential
Wright's Impact Window and Door,All Campaigns,33129, FL,ZIP,TRUE,Brickell - ultra luxury financial district
Wright's Impact Window and Door,All Campaigns,33130, FL,ZIP,TRUE,Downtown Miami - mixed use high-rise
Wright's Impact Window and Door,All Campaigns,33131, FL,ZIP,TRUE,Brickell Financial District - extreme luxury
Wright's Impact Window and Door,All Campaigns,33132, FL,ZIP,TRUE,Downtown Miami - commercial towers
Wright's Impact Window and Door,All Campaigns,33133, FL,ZIP,TRUE,Coconut Grove - luxury residential
Wright's Impact Window and Door,All Campaigns,33134, FL,ZIP,TRUE,Coral Gables - established luxury market
Wright's Impact Window and Door,All Campaigns,33135, FL,ZIP,TRUE,Little Havana - economic diversity
Wright's Impact Window and Door,All Campaigns,33136, FL,ZIP,TRUE,Health District - institutional/commercial
Wright's Impact Window and Door,All Campaigns,33137, FL,ZIP,TRUE,Upper East Side - luxury residential
Wright's Impact Window and Door,All Campaigns,33138, FL,ZIP,TRUE,El Portal/Little Haiti - mixed economic
Wright's Impact Window and Door,All Campaigns,33139, FL,ZIP,TRUE,South Beach - extreme luxury tourism
Wright's Impact Window and Door,All Campaigns,33140, FL,ZIP,TRUE,South Beach/Miami Beach - ultra luxury
Wright's Impact Window and Door,All Campaigns,33141, FL,ZIP,TRUE,North Beach - luxury residential
Wright's Impact Window and Door,All Campaigns,33142, FL,ZIP,TRUE,Little Haiti/Brownsville - economic challenges
Wright's Impact Window and Door,All Campaigns,33143, FL,ZIP,TRUE,South Miami - established luxury
Wright's Impact Window and Door,All Campaigns,33144, FL,ZIP,TRUE,Flagami - working class residential
Wright's Impact Window and Door,All Campaigns,33145, FL,ZIP,TRUE,Shenandoah/The Roads - historic district
Wright's Impact Window and Door,All Campaigns,33146, FL,ZIP,TRUE,Coral Gables/University of Miami - premium education
Wright's Impact Window and Door,All Campaigns,33147, FL,ZIP,TRUE,Little Haiti/Model City - economic challenges
Wright's Impact Window and Door,All Campaigns,33149, FL,ZIP,TRUE,Key Biscayne - extreme luxury island
Wright's Impact Window and Door,All Campaigns,33150, FL,ZIP,TRUE,Little Haiti - economic challenges
Wright's Impact Window and Door,All Campaigns,33155, FL,ZIP,TRUE,South Miami - luxury residential
Wright's Impact Window and Door,All Campaigns,33156, FL,ZIP,TRUE,Pinecrest - ultra luxury residential
Wright's Impact Window and Door,All Campaigns,33157, FL,ZIP,TRUE,South Miami/Palmetto Bay - luxury suburban
Wright's Impact Window and Door,All Campaigns,33161, FL,ZIP,TRUE,North Miami - diverse economic mix
Wright's Impact Window and Door,All Campaigns,33162, FL,ZIP,TRUE,North Miami/Biscayne Park - mixed residential
Wright's Impact Window and Door,All Campaigns,33165, FL,ZIP,TRUE,Olympia Heights - working class
Wright's Impact Window and Door,All Campaigns,33166, FL,ZIP,TRUE,Flagami/Miami Springs - industrial/commercial
Wright's Impact Window and Door,All Campaigns,33167, FL,ZIP,TRUE,Glenvar Heights - working class
Wright's Impact Window and Door,All Campaigns,33168, FL,ZIP,TRUE,Little Haiti - economic challenges
Wright's Impact Window and Door,All Campaigns,33169, FL,ZIP,TRUE,Miami Gardens/Goulds - working class
Wright's Impact Window and Door,All Campaigns,33170, FL,ZIP,TRUE,Goulds - agricultural/rural transition
Wright's Impact Window and Door,All Campaigns,33172, FL,ZIP,TRUE,Fontainebleau - middle class residential
Wright's Impact Window and Door,All Campaigns,33173, FL,ZIP,TRUE,South Miami - established residential
Wright's Impact Window and Door,All Campaigns,33174, FL,ZIP,TRUE,Sweetwater - working class
Wright's Impact Window and Door,All Campaigns,33175, FL,ZIP,TRUE,Tamiami - working class
Wright's Impact Window and Door,All Campaigns,33176, FL,ZIP,TRUE,South Miami/Pinecrest - luxury residential
Wright's Impact Window and Door,All Campaigns,33177, FL,ZIP,TRUE,South Miami/ Cutler Bay - working class
Wright's Impact Window and Door,All Campaigns,33178, FL,ZIP,TRUE,Doral - business/industrial park
Wright's Impact Window and Door,All Campaigns,33179, FL,ZIP,TRUE,Miami Gardens - working class
Wright's Impact Window and Door,All Campaigns,33180, FL,ZIP,TRUE,Aventura - luxury high-rise
Wright's Impact Window and Door,All Campaigns,33181, FL,ZIP,TRUE,Miami Shores - established residential
Wright's Impact Window and Door,All Campaigns,33182, FL,ZIP,TRUE,Fontainebleau - middle class
Wright's Impact Window and Door,All Campaigns,33183, FL,ZIP,TRUE,Kendall - middle class residential
Wright's Impact Window and Door,All Campaigns,33184, FL,ZIP,TRUE,Fontainebleau - middle class
Wright's Impact Window and Door,All Campaigns,33185, FL,ZIP,TRUE,The Hammocks - working class
Wright's Impact Window and Door,All Campaigns,33186, FL,ZIP,TRUE,The Crossings - middle class
Wright's Impact Window and Door,All Campaigns,33187, FL,ZIP,TRUE,South Miami - luxury residential
Wright's Impact Window and Door,All Campaigns,33189, FL,ZIP,TRUE,Cutler Bay - working class
Wright's Impact Window and Door,All Campaigns,33190, FL,ZIP,TRUE,Cutler Bay - working class
Wright's Impact Window and Door,All Campaigns,33193, FL,ZIP,TRUE,Oliva - working class
Wright's Impact Window and Door,All Campaigns,33194, FL,ZIP,TRUE,Doral - business district
Wright's Impact Window and Door,All Campaigns,33196, FL,ZIP,TRUE,Richmond West - working class