Campaign,Ad Group,Status,Campaign Type,Sub Type,Networks,Search Partners,Display Network,Targeting,Ad Schedule,Budget,Labels,Campaign Bid Strategy Type,Asset Group Bid Strategy Type,Asset Group Bid Strategy Name,Target CPA,Max CPC,Enhanced CPC,EU Political Content,Keywords,Geographic Targeting,City Targeting,ZIP Code Targeting,Regional Targeting,Service Category,Priority Level,Conversion Actions,Ad Group Labels
wrights_palm_beach_priority_1,boca_raton_windows_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,150.00,Palm Beach County|Priority 1|Coastal Corridor,Manual CPC,Target CPA,Target CPA - High Value Service,45.00,,Disabled,Disabled,"impact windows boca raton near me","Boca Raton, FL","Boca Raton, FL","33431,33432,33433,33434,33435,33436,33437,33446,33480,33481,33482,33483,33484,33486,33487,33496,33498","Palm Beach County, FL",Impact Windows,Priority 1,Website Quotes + Phone Calls,Palm Beach|Boca Raton|Windows|Priority 1
wrights_palm_beach_priority_1,palm_beach_gardens_windows_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,150.00,Palm Beach County|Priority 1|Coastal Corridor,Manual CPC,Target CPA,Target CPA - High Value Service,45.00,,Disabled,Disabled,"impact windows palm beach gardens near me","Palm Beach Gardens, FL","Palm Beach Gardens, FL","33403,33408,33410,33412,33418,33458","Palm Beach County, FL",Impact Windows,Priority 1,Website Quotes + Phone Calls,Palm Beach|Palm Beach Gardens|Windows|Priority 1
wrights_palm_beach_priority_1,west_palm_beach_windows_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,150.00,Palm Beach County|Priority 1|Coastal Corridor,Manual CPC,Target CPA,Target CPA - High Value Service,45.00,,Disabled,Disabled,"impact windows west palm beach near me","West Palm Beach, FL","West Palm Beach, FL","33401,33405,33406,33407,33409,33411,33413,33414,33415,33416,33417,33419,33420,33421,33422","Palm Beach County, FL",Impact Windows,Priority 1,Website Quotes + Phone Calls,Palm Beach|West Palm Beach|Windows|Priority 1
wrights_palm_beach_priority_1,boynton_beach_windows_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,150.00,Palm Beach County|Priority 1|Coastal Corridor,Manual CPC,Target CPA,Target CPA - High Value Service,45.00,,Disabled,Disabled,"impact windows boynton beach near me","Boynton Beach, FL","Boynton Beach, FL","33424,33425,33426,33427,33428,33429,33430,33435,33436,33437","Palm Beach County, FL",Impact Windows,Priority 1,Website Quotes + Phone Calls,Palm Beach|Boynton Beach|Windows|Priority 1
wrights_palm_beach_priority_1,delray_beach_windows_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,150.00,Palm Beach County|Priority 1|Coastal Corridor,Manual CPC,Target CPA,Target CPA - High Value Service,45.00,,Disabled,Disabled,"impact windows delray beach near me","Delray Beach, FL","Delray Beach, FL","33444,33445,33446,33448,33483,33484","Palm Beach County, FL",Impact Windows,Priority 1,Website Quotes + Phone Calls,Palm Beach|Delray Beach|Windows|Priority 1
wrights_palm_beach_priority_1,lake_worth_windows_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,150.00,Palm Beach County|Priority 1|Coastal Corridor,Manual CPC,Target CPA,Target CPA - High Value Service,45.00,,Disabled,Disabled,"impact windows lake worth near me","Lake Worth, FL","Lake Worth, FL","33449,33454,33460,33461,33462,33463,33464,33465,33466,33467","Palm Beach County, FL",Impact Windows,Priority 1,Website Quotes + Phone Calls,Palm Beach|Lake Worth|Windows|Priority 1
wrights_palm_beach_priority_1,boca_raton_doors_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,150.00,Palm Beach County|Priority 1|Coastal Corridor,Manual CPC,Maximize Conversions,Maximize Conversions - Established Service,,,Disabled,Disabled,"impact doors boca raton near me","Boca Raton, FL","Boca Raton, FL","33431,33432,33433,33434,33435,33436,33437,33446,33480,33481,33482,33483,33484,33486,33487,33496,33498","Palm Beach County, FL",Impact Doors,Priority 1,Website Quotes + Phone Calls,Palm Beach|Boca Raton|Doors|Priority 1
wrights_palm_beach_priority_1,palm_beach_gardens_doors_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,150.00,Palm Beach County|Priority 1|Coastal Corridor,Manual CPC,Maximize Conversions,Maximize Conversions - Established Service,,,Disabled,Disabled,"impact doors palm beach gardens near me","Palm Beach Gardens, FL","Palm Beach Gardens, FL","33403,33408,33410,33412,33418,33458","Palm Beach County, FL",Impact Doors,Priority 1,Website Quotes + Phone Calls,Palm Beach|Palm Beach Gardens|Doors|Priority 1
wrights_palm_beach_priority_1,west_palm_beach_doors_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,150.00,Palm Beach County|Priority 1|Coastal Corridor,Manual CPC,Maximize Conversions,Maximize Conversions - Established Service,,,Disabled,Disabled,"impact doors west palm beach near me","West Palm Beach, FL","West Palm Beach, FL","33401,33405,33406,33407,33409,33411,33413,33414,33415,33416,33417,33419,33420,33421,33422","Palm Beach County, FL",Impact Doors,Priority 1,Website Quotes + Phone Calls,Palm Beach|West Palm Beach|Doors|Priority 1
wrights_palm_beach_priority_1,boca_raton_hurricane_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,150.00,Palm Beach County|Priority 1|Coastal Corridor,Manual CPC,Manual CPC,Manual CPC - New Service,,3.00,Disabled,Disabled,"hurricane protection boca raton near me","Boca Raton, FL","Boca Raton, FL","33431,33432,33433,33434,33435,33436,33437,33446,33480,33481,33482,33483,33484,33486,33487,33496,33498","Palm Beach County, FL",Hurricane Protection,Priority 1,Website Quotes + Phone Calls,Palm Beach|Boca Raton|Hurricane|Priority 1
wrights_palm_beach_priority_1,palm_beach_gardens_hurricane_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,150.00,Palm Beach County|Priority 1|Coastal Corridor,Manual CPC,Manual CPC,Manual CPC - New Service,,3.00,Disabled,Disabled,"hurricane protection palm beach gardens near me","Palm Beach Gardens, FL","Palm Beach Gardens, FL","33403,33408,33410,33412,33418,33458","Palm Beach County, FL",Hurricane Protection,Priority 1,Website Quotes + Phone Calls,Palm Beach|Palm Beach Gardens|Hurricane|Priority 1
wrights_palm_beach_priority_1,west_palm_beach_hurricane_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,150.00,Palm Beach County|Priority 1|Coastal Corridor,Manual CPC,Manual CPC,Manual CPC - New Service,,3.00,Disabled,Disabled,"hurricane protection west palm beach near me","West Palm Beach, FL","West Palm Beach, FL","33401,33405,33406,33407,33409,33411,33413,33414,33415,33416,33417,33419,33420,33421,33422","Palm Beach County, FL",Hurricane Protection,Priority 1,Website Quotes + Phone Calls,Palm Beach|West Palm Beach|Hurricane|Priority 1
wrights_palm_beach_priority_1,boca_raton_energy_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,150.00,Palm Beach County|Priority 1|Coastal Corridor,Manual CPC,Maximize Conversions,Maximize Conversions - Established Service,,,Disabled,Disabled,"energy efficiency boca raton near me","Boca Raton, FL","Boca Raton, FL","33431,33432,33433,33434,33435,33436,33437,33446,33480,33481,33482,33483,33484,33486,33487,33496,33498","Palm Beach County, FL",Energy Efficiency,Priority 1,Website Quotes + Phone Calls,Palm Beach|Boca Raton|Energy|Priority 1
wrights_palm_beach_priority_1,palm_beach_gardens_energy_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,150.00,Palm Beach County|Priority 1|Coastal Corridor,Manual CPC,Maximize Conversions,Maximize Conversions - Established Service,,,Disabled,Disabled,"energy efficiency palm beach gardens near me","Palm Beach Gardens, FL","Palm Beach Gardens, FL","33403,33408,33410,33412,33418,33458","Palm Beach County, FL",Energy Efficiency,Priority 1,Website Quotes + Phone Calls,Palm Beach|Palm Beach Gardens|Energy|Priority 1
wrights_palm_beach_priority_1,west_palm_beach_energy_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,150.00,Palm Beach County|Priority 1|Coastal Corridor,Manual CPC,Maximize Conversions,Maximize Conversions - Established Service,,,Disabled,Disabled,"energy efficiency west palm beach near me","West Palm Beach, FL","West Palm Beach, FL","33401,33405,33406,33407,33409,33411,33413,33414,33415,33416,33417,33419,33420,33421,33422","Palm Beach County, FL",Energy Efficiency,Priority 1,Website Quotes + Phone Calls,Palm Beach|West Palm Beach|Energy|Priority 1
wrights_palm_beach_priority_1,boca_raton_commercial_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,150.00,Palm Beach County|Priority 1|Coastal Corridor,Manual CPC,Manual CPC,Manual CPC - Premium Service,,3.00,Disabled,Disabled,"commercial solutions boca raton near me","Boca Raton, FL","Boca Raton, FL","33431,33432,33433,33434,33435,33436,33437,33446,33480,33481,33482,33483,33484,33486,33487,33496,33498","Palm Beach County, FL",Commercial Solutions,Priority 1,Website Quotes + Phone Calls,Palm Beach|Boca Raton|Commercial|Priority 1
wrights_palm_beach_priority_1,palm_beach_gardens_commercial_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,150.00,Palm Beach County|Priority 1|Coastal Corridor,Manual CPC,Manual CPC,Manual CPC - Premium Service,,3.00,Disabled,Disabled,"commercial solutions palm beach gardens near me","Palm Beach Gardens, FL","Palm Beach Gardens, FL","33403,33408,33410,33412,33418,33458","Palm Beach County, FL",Commercial Solutions,Priority 1,Website Quotes + Phone Calls,Palm Beach|Palm Beach Gardens|Commercial|Priority 1
wrights_palm_beach_priority_1,west_palm_beach_commercial_search,Disabled,Search,Standard,Search,Disabled,Disabled,Geographic + Keyword,Monday-Saturday 8AM-6PM,150.00,Palm Beach County|Priority 1|Coastal Corridor,Manual CPC,Manual CPC,Manual CPC - Premium Service,,3.00,Disabled,Disabled,"commercial solutions west palm beach near me","West Palm Beach, FL","West Palm Beach, FL","33401,33405,33406,33407,33409,33411,33413,33414,33415,33416,33417,33419,33420,33421,33422","Palm Beach County, FL",Commercial Solutions,Priority 1,Website Quotes + Phone Calls,Palm Beach|West Palm Beach|Commercial|Priority 1